cause,effect,sentence,source
totalitarianism,terrorism,The root cause of terrorism is totalitarianism.,wikipedia_sentence
political_opposition,terrorism,In 1935 he wrote a paper in which he argued that political opposition must eventually lead to violence and terrorism; this became in part the ideological basis of the Purges.,wikipedia_sentence
extremely_traditional_or_orthodox_versions_of_islam,terrorism,Extremely traditional or orthodox versions of Islam were often associated in the public mind with terrorism and radical Muslim fighters in the North Caucasus.,wikipedia_sentence
u.s._government_handing_over_information_about_swedish_citizens,terrorism,"According to Swedish television SVT, a yet-to-be-released cable from the U.S. Embassy in Stockholm reveals that Swedish authorities have secretly cooperated with the U.S. government handing over information about Swedish citizens, who might be associated with terrorism.",wikipedia_sentence
social_grievances,terrorism,"Minister of Public Security Meng Jianzhu added that, in addition to a crackdown, the government will address the social grievances that can lead to terrorism by expanding compulsory education and community development efforts.",wikipedia_sentence
islamic_extremism_in_egypt,terrorism,"Islamic extremism in Egypt has been the cause of much terrorism and controversy in the country in the 20th century, and still continues to be a main issue in the current Egyptian society.",wikipedia_sentence
perjury,terrorism,"Current law theoretically allows the death penalty for treason, espionage, murder, successfully inciting the suicide of a person ""afflicted with total lack of free will or reason"", arson resulting in death, acts of indecent assault resulting in death, importing nuclear substances/wastes in the environment of the State, adultery, apostasy, blasphemy, perjury causing wrongful execution, rape, aggravated robbery, kidnapping, terrorism, sodomy, homosexuality, drug trafficking and joining the Islamic State of Iraq and the Levant, although death sentences are frequently commuted to life sentences.",wikipedia_sentence
muslims,terrorism,"There have also been examples in the film industry in which Muslims are often associated with terrorism, such as in the 1998 movie The Siege.",wikipedia_sentence
hizb_ut-tahrir_'s_ideology_was_erroneous,terrorism,"At Cambridge, he encountered numerous sects of Islam and decided that Hizb ut-Tahrir's ideology was erroneous and led to terrorism.",wikipedia_sentence
failure,terrorism,"This failure, he charged, had led to the instability, violence, and terrorism that were now threatening the country and region.",wikipedia_sentence
nahdlatul_ulama_also_requested_people_to_report_on_actions,terrorism,Nahdlatul Ulama also requested people to report on actions that may lead to radicalism or terrorism.,wikipedia_sentence
conservatives_were_the_first_to_embrace_nationalism,liberalism,"Conservatives were the first to embrace nationalism, which was previously associated with liberalism and the Revolution in France.",wikipedia_sentence
wider_context,liberalism,The hacker ethic and its wider context can be associated with liberalism and anarchism.,wikipedia_sentence
norwich,liberalism,"Norwich has long been associated with radical politics, political dissent, liberalism, nonconformism and the arts.",wikipedia_sentence
darwinism,liberalism,"Hovind contends that Darwinism produced ""Communism, Socialism, Nazism, abortion, liberalism and the New Age Movement"".",wikipedia_sentence
psychoticism,liberalism,"In 2015, they released an erratum showing that psychoticism is actually more associated with liberalism, whereas neuroticism is more associated with conservatism.",wikipedia_sentence
ibarguren,liberalism,"Up to this point, Ibarguren had been associated with the liberalism that defined Argentina's cultural elite but the setbacks of 1920 saw his positions alter.",wikipedia_sentence
hobbes_had_founded_the_modern_tradition_of_individualism,liberalism,"René Capitant disputed Vialatoux's position, saying Hobbes had founded the modern tradition of individualism, which led to liberalism rather than totalitarianism.",wikipedia_sentence
yellow,judas_iscariot,"In the early Christian church, yellow was the color associated with the Pope and the golden keys of the Kingdom, but was also associated with Judas Iscariot and was used to mark heretics.",wikipedia_sentence
fungus,judas_iscariot,The fungus is associated with Judas Iscariot because of the belief that he hanged himself on an elder tree after his betrayal of Jesus Christ.,wikipedia_sentence
transgressive_nature_of_cult_films,censorship,The transgressive nature of cult films can lead to their censorship.,wikipedia_sentence
government_funding_and_influence,censorship,They feared that government funding and influence would lead to censorship and a violation of freedom of speech.,wikipedia_sentence
sex_scene,censorship,"Age of Consent attracted controversy over nudity and a sex scene, which led to some censorship and cuts.",wikipedia_sentence
commotion,censorship,"In 1975, his musical fantasy, Bordella (House of Pleasure for Women), caused a commotion resulting in some censorship.",wikipedia_sentence
obsession_with_eliminating_'_rape_culture,censorship,"...On college campuses, obsession with eliminating 'rape culture' has led to censorship and hysteria.""",wikipedia_sentence
more_realistic_films,censorship,"After several more realistic films led to censorship and difficulties with the authorities, Portabella dedicated himself to the development of a radical cinematic language, leading to his first short film No contéis con los dedos in 1968.",wikipedia_sentence
omission_of_artist_intention,censorship,Intentists believe that an omission of artist intention can lead to enforced restrictions on the artist and even censorship.,wikipedia_sentence
bibliophobia,censorship,Bibliophobia is a common cause of censorship and book burning.,wikipedia_sentence
film_'s_depiction_of_pakistan,censorship,"The censorship was due to the film's depiction of Pakistan as an unstable state and the fictional portrayal of a ""foreign invasion of Pakistan’s nuclear installations"", which caught the ire of film censor authorities.",wikipedia_sentence
production_code,censorship,The Production Code brought censorship and restriction of content in a time of turmoil that challenged the foundations of American society.,wikipedia_sentence
political_and_social_realities_of_the_communist_poland,censorship,"The group often commented on the political and social realities of the communist Poland, which resulted in government sanctions and censorship.",wikipedia_sentence
hostile_emotions_toward_art,censorship,"Hostile emotions toward art are often very visible in the form of anger or frustration, and can result in censorship, but are less easily described by a continuum of aesthetic pleasure-displeasure.",wikipedia_sentence
overt_literary_resistance,censorship,"After the Japanese occupation, censorship, prison, or even to death followed overt literary resistance and the predominant emotion among Korean writers in the 1920s was near-despair.",wikipedia_sentence
predominant_emotion_among_korean_writers_in_the_1920s_was_near-despair,censorship,"After the Japanese occupation, censorship, prison, or even to death followed overt literary resistance and the predominant emotion among Korean writers in the 1920s was near-despair.",wikipedia_sentence
ninth_circuit_'s_decision,censorship,"He suggests that the Ninth Circuit's decision could lead to censorship, wherein a small contributor to a creative work can effectively close off public access to the work.",wikipedia_sentence
scandal,federal_communications_commission,"The scandal also caused the Federal Communications Commission to mandate the sale of Barry-Enright's radio station in Hollywood, Florida, WGMA (now WLQY).",wikipedia_sentence
homosexuality,pedophilia,The document has attracted criticism based on an interpretation that the document implies that homosexuality is associated with pedophilia.,wikipedia_sentence
day_care_sex_abuse,pedophilia,"High-profile media attention to pedophilia has led to incidents of moral panic, particularly following reports of pedophilia associated with Satanic ritual abuse and day care sex abuse.",wikipedia_sentence
satanic_ritual_abuse,pedophilia,"High-profile media attention to pedophilia has led to incidents of moral panic, particularly following reports of pedophilia associated with Satanic ritual abuse and day care sex abuse.",wikipedia_sentence
unsuccessful_outcome_of_the_complex,pedophilia,"Freud considered that the child's identification with the same-sex parent is the successful outcome of the complex and that unsuccessful outcome of the complex might lead to neurosis, pedophilia, and homosexuality.",wikipedia_sentence
intense_or_unbridled_sexual_desire,fornication,"It is usually thought of as intense or unbridled sexual desire, which leads to fornication, adultery, rape, bestiality, and other immoral sexual acts.",wikipedia_sentence
general_aquaviva,fornication,Blas Valera entered his underground prison cell in April 1583 on charges of fornication brought on by General Aquaviva.,wikipedia_sentence
viewing_pornography,fornication,"1987 – Church seventy Theodore Burton stated in a BYU-wide address that marriage infidelity can often start with ""personal indulgences based on selfishness"" such as viewing pornography which, ""leads to self-abuse, homosexuality, fornication, adultery, child and spouse abuse, incest, rape, and cruelty.""",wikipedia_sentence
poverty,prostitution,"Since poverty was associated with prostitution and ""mental idiocy,"" women of the lower classes were the first to be deemed ""unfit"" and ""promiscuous.""",wikipedia_sentence
violence,prostitution,"The Chicago Vice Commission sought to close the Everleigh Club and the entire red-light district of Chicago in an attempt to rehabilitate prostitutes, curb the spread of venereal disease, and cease the crime and violence that was often associated with prostitution (not necessarily within the Everleigh Club).",wikipedia_sentence
aphrodite_'s_mesopotamian_precursor_inanna-ishtar,prostitution,Aphrodite's Mesopotamian precursor Inanna-Ishtar was also closely associated with prostitution.,wikipedia_sentence
red,prostitution,Red is still commonly associated with prostitution.,wikipedia_sentence
crime,prostitution,"The Chicago Vice Commission sought to close the Everleigh Club and the entire red-light district of Chicago in an attempt to rehabilitate prostitutes, curb the spread of venereal disease, and cease the crime and violence that was often associated with prostitution (not necessarily within the Everleigh Club).",wikipedia_sentence
prohibition_of_other_drugs,prostitution,"Because alcohol was the most popular recreational drug in these countries, reactions to its prohibition were far more negative than to the prohibition of other drugs, which were commonly associated with ethnic minorities, prostitution, and vice.",wikipedia_sentence
kidnapping_only,prostitution,Addams believed that prostitution was a result of kidnapping only.,wikipedia_sentence
excursions_to_the_round_top_park_brought_alcohol,prostitution,"The battlefield had a 1912 airfield at Camp Stuart and a WWI Tank Corps center at Brevet Lt. Col. Dwight D. Eisenhower's 1918 Camp Colt, and excursions to the Round Top Park brought alcohol and prostitution.",wikipedia_sentence
depression,prostitution,Depression is also associated with drug use and prostitution.,wikipedia_sentence
kentucky_casinos,prostitution,Caesars Indiana was given as an example to discredit Kentucky governor Ernie Fletcher's claims that Kentucky casinos would cause prostitution during the 2007 Kentucky governors race.,wikipedia_sentence
homosexuality,prostitution,"Homosexuality is thus often associated with both sexual abuse and prostitution, a popular misconception that trickles down into the nation's legal system.",wikipedia_sentence
large-scale_crime,prostitution,"Large-scale crime, including human trafficking for sexual purposes, assault, procuring and drug-dealing, is also commonly associated with prostitution.",wikipedia_sentence
social_stigma,prostitution,"The group works against the social stigma that is associated with prostitution, and the poverty that is sometimes its cause.",wikipedia_sentence
downtown_eastside,prostitution,"The intersection of Main and Hastings is now a local byword for the poverty, addictions, homelessness, and prostitution often associated with the Downtown Eastside.",wikipedia_sentence
hint_the_alley,prostitution,"In his 31st epistle, the troubadour Carl Michael Bellman (1740–1795) gives a hint the alley was associated with prostitution:",wikipedia_sentence
experiences_of_a_housewife_whose_sexual_experimentation,prostitution,"Also during this period, Hiroki directed two character dramas with sexual themes, L'Amant about a teenaged girl selling herself as a sex slave and M, detailing the experiences of a housewife whose sexual experimentation leads to prostitution.",wikipedia_sentence
genre,prostitution,"After five years, he returned to the Dominican Republic, only to find that the bachateros had been marginalized, since the genre itself had been associated with poverty and prostitution, and only Radio Guarachita, a nationwide radio station, played it.",wikipedia_sentence
new_life_to_testaferrata_street,prostitution,"The project is aimed at giving new life to Testaferrata Street, which presently is commonly associated with prostitution.",wikipedia_sentence
pandering,prostitution,"As a legal concept, pandering is most commonly associated with prostitution.",wikipedia_sentence
desperate_situations,prostitution,"However, Falle asserted that the sex workers in question would never have been allowed to work in such establishments because desperate situations led these women to prostitution and referred to Pickton's victims as ""easy access"".",wikipedia_sentence
area_fell_into_despair,prostitution,The area fell into despair and became associated with prostitution and drug dealing.,wikipedia_sentence
work_opportunities_for_women,prostitution,Fewer work opportunities for women have led to prostitution as an alternative.,wikipedia_sentence
women_being_sold_into_brothels_by_their_parents,prostitution,Prostitution was frequently a result of women being sold into brothels by their parents.,wikipedia_sentence
alcohol_consumption,prostitution,"These groups believed that alcohol consumption led to corruption, prostitution, spousal abuse and other criminal activities.",wikipedia_sentence
men,prostitution,Men both caused prostitution and enforced the system that shamed and punished the women who were its victims.,wikipedia_sentence
parents_would_have_paid_to_put_their_daughters_into_an_occupation,prostitution,"With premiums to apprentice a girl to a milliner higher than those paid in general for boys, it is unlikely that parents would have paid to put their daughters into an occupation that was so associated with prostitution.",wikipedia_sentence
inability_to_meet_her_financial_obligations_and_fend_for,prostitution,"According to her, the inability to meet her financial obligations and fend for herself led her to prostitution and housekeeping afterwards.",wikipedia_sentence
game_'s_roman_numeral,pornography,The reason: The game's Roman numeral (XXX) is usually associated with pornography.,wikipedia_sentence
restrictive_rating,pornography,"The restrictive rating was more associated with pornography at the time, and it both limited the number of cinemas willing to screen such a film and restricted promotional advertising, which would potentially adversely affect any box office takings.",wikipedia_sentence
mandible_from_the_articular_groove_of_the_temporal_bone,subluxation,Subluxation may also occur in the mandible from the articular groove of the temporal bone.,wikipedia_sentence
ankle_equinus,subluxation,Dynamic deformities such as ankle equinus and hip adduction deformity leading to subluxation are usually managed conservatively with exercises; serial casting and botulinum toxin type A injections.,wikipedia_sentence
warburg_effect,warburg_hypothesis,A large number of researchers have dedicated and are dedicating their efforts to the study of the Warburg effect that is intimately associated with the Warburg hypothesis.,wikipedia_sentence
depression,alcoholism,Depression and lack of a job resulted in alcoholism and consequent death from another heart attack at the age of 24.,wikipedia_sentence
stress,alcoholism,,wikipedia_infobox
